repo,stars,size_kb,age_days,open_issues,language,ci_pass_pct,ci_total,pr_merge_hours,pr_merged_count,releases_per_week,release_count_90d,has_actions,type
kgretzky/evilginx2,14732,7904,2808,273,Go,,0,,0,0,0,0,code
powerline/powerline,14727,4291,5027,237,Python,83,6,8.3,7,0,0,1,code
rust-lang/cargo,14719,67185,4396,1586,Rust,82,17,11.6,20,0,0,1,code
automerge/automerge-classic,14717,4047,3255,79,JavaScript,,0,13.3,16,0,0,0,code
quickemu-project/quickemu,14701,2529,2193,27,Shell,85,20,18.9,19,0.16,2,1,code
aalansehaiyang/technology-talk,14700,132396,3568,26,unknown,,0,0,1,0,0,0,non-code
Wan-Video/Wan2.2,14698,8209,233,267,Python,,0,1.4,6,0,0,0,code
peng-zhihui/Dummy-Robot,14697,80730,1623,121,C,,0,2099.1,1,0,0,0,code
hindupuravinash/the-gan-zoo,14692,2198,3260,39,Python,,0,70.6,11,0,0,0,code
ArduPilot/ardupilot,14687,590416,4816,2881,C++,75,4,215,16,0,0,1,code
formatjs/formatjs,14685,75594,4346,6,TypeScript,80,15,2.8,19,1.56,20,1,code
SpacehuhnTech/esp8266_deauther,14682,16399,3357,96,C,,0,,0,0,0,0,code
taowen/awesome-lowcode,14681,2264,2065,7,unknown,,0,208,19,0,0,0,non-code
keycastr/keycastr,14681,58233,6235,93,Objective-C,,0,378.5,10,0,0,0,code
horovod/horovod,14678,7087,3143,407,Python,11,9,10.3,8,0,0,1,code
trustedsec/social-engineer-toolkit,14671,179613,4824,438,Python,,0,2132.3,10,0,0,0,code
twbs/ratchet,14661,14596,4961,221,CSS,100,1,2449.4,4,0,0,1,code
eclipse-vertx/vert.x,14660,124430,5388,220,Java,44,18,2.6,18,0,0,1,code
MithrilJS/mithril.js,14658,10697,4384,27,JavaScript,100,20,98,15,0,0,1,code
winapps-org/winapps,14654,30051,987,78,Shell,60,20,20.3,15,0,0,1,code
v2rayA/v2rayA,14648,7961,2342,339,Go,95,19,190.6,13,0.39,5,1,code
Nuitka/Nuitka,14647,66248,4712,191,Python,11,18,63.7,16,0,0,1,code
kepano/obsidian-skills,14646,43,74,13,unknown,100,1,61.7,9,0,0,1,code
ajv-validator/ajv,14643,38505,3955,321,TypeScript,50,20,269.7,6,0.08,1,1,code
tracel-ai/burn,14636,72798,1338,229,Rust,25,16,28.1,16,0.39,5,1,code
Canner/WrenAI,14634,23177,735,293,TypeScript,75,4,0.2,5,0,0,1,code
bol-van/zapret,14631,20479,3684,5,C,100,20,7.7,10,0.47,6,1,code
google/brotli,14626,42548,4178,91,TypeScript,75,20,70.9,14,0,0,1,code
waditu/tushare,14624,7549,4088,703,Python,,0,12.9,4,0,0,0,code
opf/openproject,14622,2550472,4858,179,Ruby,100,18,17,20,1.56,20,1,code
cyrildiagne/ar-cutpaste,14619,382,2146,56,TypeScript,,0,3045.7,11,0,0,0,code
myliang/x-spreadsheet,14616,4066,2750,412,JavaScript,,0,9.6,1,0,0,0,code
botpress/botpress,14604,322512,3408,88,TypeScript,50,20,3.1,18,0,0,1,code
rust-embedded/rust-raspberrypi-OS-tutorials,14603,21234,2909,22,Rust,0,20,381.2,13,0,0,1,non-code
lynx-family/lynx,14602,43742,379,679,C++,75,20,17.3,20,0.23,3,1,code
dotnet/efcore,14601,220120,4437,2422,C#,100,12,13.2,19,0.78,10,1,code
jimp-dev/jimp,14597,469277,4203,177,TypeScript,0,18,0.2,16,0,0,1,code
Chocobozzz/PeerTube,14593,547627,3792,704,TypeScript,80,20,55,12,0.39,5,1,code
shengqiangzhang/examples-of-web-crawlers,14592,286452,2562,21,HTML,,0,78.9,8,0,0,0,code
ShangtongZhang/reinforcement-learning-an-introduction,14591,6085,3473,22,Python,,0,8.3,17,0,0,0,non-code
FLEXTool/FLEX,14588,31183,4311,50,Objective-C,,0,2105,13,0,0,0,code
alibaba/MNN,14584,325182,2529,18,C++,89,19,23.4,15,0.16,2,1,code
webrtc/samples,14583,18477,4562,44,JavaScript,100,20,25.2,15,0,0,1,code
terkelg/awesome-creative-coding,14582,573,3423,9,HTML,95,20,53.5,5,0,0,1,non-code
bagisto/opensource-ecommerce-mobile-app,14578,8655,875,1,Dart,,0,0,5,0.08,1,0,code
PCSX2/pcsx2,14562,312600,4469,745,C++,100,16,11.1,19,1.56,20,1,code
playcanvas/engine,14557,560124,4328,601,JavaScript,94,18,0.2,13,0.78,10,1,code
nltk/nltk,14556,354840,6036,292,Python,100,15,614.9,18,0,0,1,code
SesameAILabs/csm,14549,29,385,12,Python,,0,0,6,0,0,0,code
arduino/Arduino,14547,1387855,5661,738,Java,35,17,12.3,5,0,0,1,code
hdodenhof/CircleImageView,14545,1003,4443,7,Java,,0,515.7,2,0,0,0,code
scipy/scipy,14541,193396,5488,1791,Python,100,8,20.6,16,0.23,3,1,code
Tencent/QMUI_Android,14526,21963,3253,428,Java,,0,115.8,15,0,0,0,code
langchain-ai/deepagents,14526,45564,233,152,Python,100,18,0.1,11,1.56,20,1,code
openai/skills,14519,1889,113,144,Python,40,20,2.4,4,0,0,1,code
vuejs/pinia,14515,9740,2311,33,TypeScript,75,20,14.1,12,0,0,1,code
lint-staged/lint-staged,14514,6741,3715,39,JavaScript,94,18,7.6,19,0.47,6,1,code
algerkong/AlgerMusicPlayer,14513,33621,873,218,Vue,100,18,75.7,10,0.08,1,1,code
sqshq/sampler,14505,2230,2609,62,Go,,0,43.1,13,0,0,0,code
Hunlongyu/ZY-Player,14505,19743,2303,64,Vue,,0,557.5,13,0,0,0,code
alibaba/ARouter,14504,26589,3381,141,Java,100,20,663.4,3,0,0,1,code
wifiphisher/wifiphisher,14500,12890,4191,351,Python,,0,166.5,8,0,0,0,code
liquidslr/interview-company-wise-problems,14497,6411,442,19,unknown,,0,,0,0,0,0,non-code
xournalpp/xournalpp,14496,62464,4604,1182,C++,100,1,53.3,14,0.23,3,1,code
sympy/sympy,14495,196049,5800,5600,Python,88,16,13.3,3,0,0,1,code
