repo,stars,size_kb,age_days,open_issues,language,ci_pass_pct,ci_total,pr_merge_hours,pr_merged_count,releases_per_week,release_count_90d,has_actions,type
programthink/zhao,13959,72400,3671,382,Python,,0,669.2,3,0,0,0,code
visgl/deck.gl,13958,715302,3746,489,TypeScript,95,20,23.6,16,0.54,7,1,code
chriskempson/tomorrow-theme,13956,3428,5511,88,CSS,,0,,0,0,0,0,code
webview/webview,13955,5847,3133,202,C++,84,19,69.4,12,0,0,1,code
janishar/mit-deep-learning-book-pdf,13955,58474,3267,12,Java,,0,4450.3,6,0,0,0,non-code
apollographql/apollo-server,13952,139583,3618,80,TypeScript,100,20,9.6,12,0.47,6,1,code
coredns/coredns,13948,103709,3651,291,Go,95,20,6,16,0.23,3,1,code
Comfy-Org/ComfyUI-Manager,13944,145482,1060,352,Python,100,16,97.5,12,0,0,1,code
donnemartin/awesome-aws,13944,803,3810,85,Python,,0,1220.2,1,0,0,0,non-code
jessfraz/dockerfiles,13942,74063,4206,79,Dockerfile,,0,,0,0,0,0,code
Tichau/FileConverter,13941,248219,3999,300,C#,100,20,3332.7,15,0.08,1,1,code
vercel/commerce,13939,11077,1968,74,TypeScript,,0,9.8,8,0,0,0,code
basecamp/kamal,13936,3007,1166,113,Ruby,31,13,213.2,13,0,0,1,code
CompVis/latent-diffusion,13913,29378,1549,293,Jupyter Notebook,,0,1.4,2,0,0,0,code
PHPOffice/PhpSpreadsheet,13912,80687,3559,109,PHP,80,20,43.1,17,0.47,6,1,code
rougier/numpy-100,13911,513,4313,59,Python,89,9,17.1,12,0,0,1,code
QuestPDF/QuestPDF,13910,917912,1898,253,C#,80,20,0.7,14,0.62,8,1,code
AmazingAng/WTF-Solidity,13900,234684,1446,9,Solidity,95,20,7,15,0,0,1,code
foxlet/macOS-Simple-KVM,13899,6915,2522,364,Shell,,0,,0,0,0,0,code
TanStack/router,13890,72609,2620,548,TypeScript,100,10,0.3,19,1.56,20,1,code
netease-youdao/QAnything,13886,120379,805,401,Python,,0,257.9,14,0,0,0,code
xpipe-io/xpipe,13886,62701,1146,51,Java,100,20,5.1,5,1.09,14,1,code
mickael-kerjean/filestash,13884,74304,3200,88,Go,82,17,25.1,14,0,0,1,code
orhanobut/logger,13877,1873,4015,81,Java,,0,0.2,10,0,0,0,code
shoelace-style/shoelace,13874,18894,3158,105,TypeScript,61,18,332.3,10,0,0,1,code
sqshq/piggymetrics,13871,1512,4007,26,Java,0,1,1.7,1,0,0,1,code
psf/requests-html,13869,2981,2944,240,Python,,0,844.8,5,0,0,0,code
phpstan/phpstan,13867,6819496,3726,1200,PHP,95,20,0.9,19,0.78,10,1,code
single-spa/single-spa,13862,7802,3830,64,JavaScript,30,20,0,19,0,0,1,code
foreversd/forever,13861,1305,5651,342,JavaScript,,0,30.7,12,0,0,0,code
ccgus/fmdb,13860,1674,5733,271,Objective-C,,0,13.4,12,0,0,0,code
wangshub/wechat_jump_game,13852,26971,3001,38,Python,,0,,0,0,0,0,code
openstf/stf,13846,71754,3922,464,JavaScript,,0,2,4,0,0,0,code
streetwriters/notesnook,13836,281050,1812,970,TypeScript,40,20,50.4,18,1.4,18,1,code
elder-plinius/CL4R1T4S,13836,453,379,77,unknown,,0,,0,0,0,0,non-code
diaspora/diaspora,13831,117417,5663,428,Ruby,100,20,374.7,5,0,0,1,code
CoderMJLee/MJRefresh,13831,15452,4317,58,Objective-C,,0,22.7,11,0,0,0,code
bytebase/bytebase,13828,148531,1876,143,Go,80,15,0.5,18,0.54,7,1,code
nodesource/distributions,13826,1103,4234,37,Shell,100,18,4.1,11,0,0,1,code
datawhalechina/easy-rl,13825,555871,2084,57,Jupyter Notebook,100,19,6.9,11,0,0,1,code
tamagui/tamagui,13821,880330,1978,96,TypeScript,14,14,10.2,7,1.56,20,1,code
froala/design-blocks,13821,379039,3149,33,HTML,,0,22.8,7,0,0,0,code
visenger/awesome-mlops,13813,1429,2206,26,unknown,,0,818.3,11,0,0,0,non-code
fengyuanchen/cropperjs,13812,15385,3827,42,TypeScript,85,20,544.1,7,0,0,1,code
lnishan/awesome-competitive-programming,13810,7076,3771,27,unknown,,0,3548.3,6,0,0,0,non-code
pinpoint-apm/pinpoint,13809,270241,4167,520,Java,100,18,0.8,13,0,0,1,code
ethereum/EIPs,13809,110739,3796,434,Go,95,20,147.2,19,0,0,1,code
lgvalle/Material-Animations,13801,8692,4027,20,Java,,0,140.2,12,0,0,0,code
winsiderss/systeminformer,13794,82984,3698,253,C,67,15,22.1,12,0,0,1,code
PerfectlySoft/Perfect,13790,5461,3820,65,Swift,,0,86,18,0,0,0,code
BuilderIO/mitosis,13787,28643,1958,175,TypeScript,60,20,2.9,18,0.16,2,1,code
s-matyukevich/raspberry-pi-os,13774,2016,3191,65,C,,0,40.3,15,0,0,0,code
OpenNHP/opennhp,13770,83497,4244,4,Go,87,15,26.1,18,0,0,1,code
winsw/winsw,13770,3545,5887,231,C#,69,16,122.5,16,0,0,1,code
seaswalker/spring-analysis,13769,4951,3477,20,Java,,0,77,7,0,0,0,code
mwaskom/seaborn,13769,53884,5021,209,Python,100,18,13.9,6,0,0,1,code
dask/dask,13769,129007,4091,1230,Python,75,20,197.3,14,0.39,5,1,code
automatisch/automatisch,13767,18214,1629,276,JavaScript,75,20,189.3,10,0,0,1,code
coleam00/Archon,13766,9109,403,154,Python,,0,494.8,2,0,0,0,code
formkit/auto-animate,13759,11500,1407,38,TypeScript,35,20,8346.8,9,0,0,1,code
GLips/Figma-Context-MCP,13759,789,398,47,TypeScript,87,15,0,10,0.16,2,1,code
denoland/fresh,13756,44477,1776,309,TypeScript,65,20,8.9,16,0.08,1,1,code
zai-org/ChatGLM3,13752,18083,874,35,Python,,0,0.2,15,0,0,0,code
sml2h3/ddddocr,13749,75242,1708,114,Python,,0,116,8,0,0,0,code
JessYanCoding/AndroidAutoSize,13748,3131,2770,125,Java,,0,50.3,4,0,0,0,code
coturn/coturn,13741,6125,3897,373,C,100,20,7.8,16,0.47,6,1,code
ReFirmLabs/binwalk,13739,53112,4505,75,Rust,22,18,19.9,14,0,0,1,code
HabitRPG/habitica,13738,1672117,5032,172,JavaScript,75,20,143.7,13,1.24,16,1,code
blaCCkHatHacEEkr/PENTESTING-BIBLE,13737,1498801,2455,28,unknown,,0,0.9,2,0,0,0,non-code
electerm/electerm,13735,32551,3084,456,JavaScript,95,20,0.3,18,1.56,20,1,code
Kotlin/kotlinx.coroutines,13717,37105,3556,381,Kotlin,,0,120.2,16,0,0,0,code
Curzibn/Luban,13713,11853,3524,1,C,89,9,18.7,5,0,0,1,code
OpenGenus/cosmos,13710,84619,3105,2610,C++,,0,,0,0,0,0,code
PySimpleGUI/PySimpleGUI,13710,37579,2807,715,Python,,0,0,13,0,0,0,code
Billionmail/BillionMail,13704,29058,397,218,Go,100,3,69.7,9,0,0,1,code
optuna/optuna,13702,22980,2947,31,Python,100,20,8.3,19,0.16,2,1,code
leemunroe/responsive-html-email-template,13701,100,4471,10,HTML,,0,0,1,0,0,0,code
pytest-dev/pytest,13699,38936,3928,1018,Python,100,18,15,16,0,0,1,code
Yixiaohan/show-me-the-code,13698,24,4213,3,unknown,,0,,0,0,0,0,non-code
shuding/nextra,13690,40791,2102,313,TypeScript,44,16,1.4,7,0,0,1,code
openresty/openresty,13689,2821,5901,315,C,85,20,35.6,12,0,0,1,code
interagent/http-api-design,13689,154,4333,30,unknown,,0,4.1,12,0,0,0,non-code
carla-simulator/carla,13688,2371410,3067,1171,C++,25,4,52.5,16,0,0,1,code
cert-manager/cert-manager,13688,97940,3220,230,Go,100,20,23.5,19,0.54,7,1,code
zotero/zotero,13686,231333,5256,1591,JavaScript,77,13,46.3,16,0,0,1,code
yonggekkk/Cloudflare-vless-trojan,13685,165562,970,0,JavaScript,,0,5.7,2,0,0,0,code
drogonframework/drogon,13685,5845,2882,396,C++,95,20,20.5,16,0.16,2,1,code
pomber/git-history,13682,33148,2598,94,JavaScript,,0,23.9,14,0,0,0,code
shipshapecode/shepherd,13679,93540,4474,35,JavaScript,40,20,2.1,13,0.39,5,1,code
microsoft/edit,13676,2272,362,143,Rust,100,17,44,13,0,0,1,code
octocat/Spoon-Knife,13675,2,5529,20411,HTML,57,7,,0,0,0,1,code
rivo/tview,13673,6485,3015,132,Go,,0,151.6,7,0,0,0,code
QwikDev/partytown,13667,21950,1671,82,TypeScript,94,17,2.6,17,0,0,1,code
srwi/EverythingToolbar,13667,27026,2012,33,C#,75,20,150.4,17,0.23,3,1,code
mobile-shell/mosh,13666,2750,5547,213,C++,100,20,57.3,12,0,0,1,code
altstoreio/AltStore,13664,224485,2504,648,Swift,,0,1.2,6,0,0,0,code
glideapps/quicktype,13663,19680,3170,560,TypeScript,6,18,,0,0,0,1,code
ConardLi/easy-dataset,13655,19515,379,125,JavaScript,87,15,9.1,16,0.31,4,1,code
OpenTalker/SadTalker,13654,94371,1211,652,Python,,0,175.1,3,0,0,0,code
bailicangdu/vue2-manage,13650,9272,3247,110,Vue,,0,35.3,2,0,0,0,code
gophish/gophish,13646,55052,4502,722,Go,0,1,8776.7,1,0,0,1,code
dail8859/NotepadNext,13644,21222,2303,85,C++,100,20,81.9,16,0.08,1,1,code
ikatyang/emoji-cheat-sheet,13644,31824,3288,85,TypeScript,100,20,1.5,9,0,0,1,non-code
nextapps-de/flexsearch,13638,7422,2943,30,JavaScript,100,20,1777.9,8,0,0,1,code
M2Team/NanaZip,13636,53208,1660,321,C++,100,15,3.6,16,0.47,6,1,code
JoeanAmier/TikTokDownloader,13631,23796,1255,65,Python,100,20,16.1,6,0,0,1,code
gitpod-io/gitpod,13629,106952,2885,457,TypeScript,55,20,8.4,15,0,0,1,code
moonD4rk/HackBrowserData,13616,19032,2099,84,Go,55,20,0.9,9,0,0,1,code
WEIFENG2333/VideoCaptioner,13616,53602,503,108,Python,,0,0,10,0,0,0,code
mouredev/hello-git,13615,94428,1169,1,unknown,100,1,8.7,10,0,0,1,code
tuteng/Best-websites-a-programmer-should-visit-zh,13613,59,3195,16,unknown,,0,47.7,4,0,0,0,non-code
krasimir/react-in-patterns,13611,137244,3558,1,JavaScript,,0,2.8,11,0,0,0,code
mltframework/shotcut,13607,123618,5076,37,C++,100,18,9.2,12,0.47,6,1,code
SawyerHood/draw-a-ui,13603,999,862,51,TypeScript,100,3,0,1,0,0,1,code
andrewyng/aisuite,13603,1149,626,125,Python,,0,128.3,13,0,0,0,code
lokesh/color-thief,13600,3441,5251,5,TypeScript,80,20,0,7,0.39,5,1,code
wasp-lang/open-saas,13599,126225,838,117,TypeScript,67,9,118.5,15,0.16,2,1,code
Effect-TS/effect,13599,96189,2317,511,TypeScript,100,14,2.2,17,1.56,20,1,code
LuckSiege/PictureSelector,13594,542078,3360,579,Java,,0,165.8,8,0,0,0,code
kysely-org/kysely,13593,54237,1850,160,TypeScript,90,20,0.5,6,0.23,3,1,code
easychen/opc-methodology,13588,33605,721,4,PHP,,0,1.1,3,0,0,0,code
rossant/awesome-math,13582,254,3850,20,Python,,0,6.8,18,0,0,0,non-code
sql-js/sql.js,13579,151201,5133,141,JavaScript,55,20,6.4,13,0.16,2,1,code
codesandbox/codesandbox-client,13576,805606,3368,592,JavaScript,94,18,2.4,14,0,0,1,code
nexe/nexe,13572,32908,5226,163,TypeScript,100,20,223.8,6,0,0,1,code
dottxt-ai/outlines,13570,75417,1097,105,Python,64,14,27.3,18,0.23,3,1,code
bolshchikov/js-must-watch,13570,114,4288,0,unknown,,0,3877.8,3,0,0,0,non-code
hrydgard/ppsspp,13568,350095,4885,1358,C++,95,20,1.1,19,0.31,4,1,code
thephpleague/flysystem,13566,3933,4525,98,PHP,100,19,73.8,16,0,0,1,code
louischatriot/nedb,13564,1513,4704,208,JavaScript,,0,,0,0,0,0,code
dwarvesf/hidden,13560,3879,2591,144,Swift,,0,11.1,14,0.08,1,0,code
graphql/dataloader,13550,1012,3842,43,JavaScript,40,20,68.7,11,0,0,1,code
novnc/noVNC,13548,10816,5824,104,JavaScript,90,20,1021.7,4,0,0,1,code
nilaoda/BBDown,13544,18903,2061,243,C#,100,14,0.2,13,0,0,1,code
divamgupta/diffusionbee-stable-diffusion-ui,13538,219307,1289,397,JavaScript,,0,22.6,10,0,0,0,code
guozhigq/pilipala,13538,17701,1065,776,Dart,0,1,73.3,11,0,0,1,code
public-api-lists/public-api-lists,13536,890,2263,13,unknown,100,5,118.7,16,0,0,1,code
facebook/watchman,13535,33980,4856,244,C++,40,20,,0,1.01,13,1,code
ory/kratos,13534,95326,2850,215,Go,70,20,8.8,1,0,0,1,code
grokability/snipe-it,13529,280791,4508,1049,PHP,100,20,4.9,20,0.08,1,1,code
Tencent/secguide,13528,245,1765,40,unknown,,0,29.5,15,0,0,0,non-code
jedisct1/libsodium,13527,11380,4805,2,C,100,20,6.2,5,0.08,1,1,code
vlucas/phpdotenv,13525,650,4802,17,PHP,100,20,0.1,10,0.08,1,1,code
rabbitmq/rabbitmq-server,13524,227571,5658,264,JavaScript,95,20,1.7,17,0.31,4,1,code
postmanlabs/httpbin,13523,750,5415,189,Python,,0,,0,0,0,0,code
rshipp/awesome-malware-analysis,13523,659,3966,24,unknown,,0,4289.2,15,0,0,0,non-code
gizak/termui,13522,6145,4061,106,Go,,0,742.6,6,0,0,0,code
jackc/pgx,13521,6008,4736,249,Go,39,18,124.6,14,0,0,1,code
mlfoundations/open_clip,13518,15913,1693,56,Python,70,20,7.9,17,0.08,1,1,code
OJ/gobuster,13515,1378,4142,19,Go,100,20,3.1,15,0,0,1,code
DaoCloud/public-image-mirror,13512,1273,1651,7,Shell,95,20,0,17,0,0,1,code
fluent/fluentd,13510,20734,5386,137,Ruby,94,18,15.2,20,0.08,1,1,code
browserslist/browserslist,13506,4712,4113,45,JavaScript,25,20,22.1,13,0,0,1,code
redis/redis-py,13506,12186,5976,94,Python,80,20,117.6,18,0.31,4,1,code
sidekiq/sidekiq,13505,14966,5174,34,Ruby,75,20,15,13,0,0,1,code
cloudflare/cloudflared,13502,42666,3078,477,Go,14,14,,0,0.31,4,1,code
sunnyyoung/WeChatTweak,13500,8787,3346,83,Swift,92,12,62.9,9,0,0,1,code
kgrzybek/modular-monolith-with-ddd,13498,8423,2399,67,C#,,0,77.5,17,0,0,0,code
dcloudio/mui,13492,8101,4230,333,JavaScript,,0,3.5,5,0,0,0,code
memvid/memvid,13492,30627,295,7,Rust,44,16,5.9,17,0.7,9,1,code
shadow1ng/fscan,13491,29591,1951,24,Go,74,19,141.4,8,0,0,1,code
Anarios/return-youtube-dislike,13483,6831,1584,216,JavaScript,,0,0,1,0,0,0,code
zalmoxisus/redux-devtools-extension,13484,11615,3798,265,JavaScript,,0,68.2,3,0,0,0,code
is-a-dev/register,9998,139139,1991,76,JavaScript,42,19,1.1,6,0,0,1,code
pahen/madge,9998,1440,5050,122,JavaScript,63,8,118.6,7,0,0,1,code
microsoft/vscode-extension-samples,9995,107578,3786,67,TypeScript,95,20,0.3,12,0,0,1,code
bpftrace/bpftrace,9991,19680,2756,247,C++,100,20,12.4,18,0.08,1,1,code
electric-sql/electric,9991,211721,1386,260,Elixir,100,6,9.2,16,1.56,20,1,code
kedacore/keda,9988,97571,2590,255,Go,90,20,216.6,13,0.23,3,1,code
Theano/Theano,9986,68115,5334,698,Python,,0,7.8,8,0,0,0,code
vxcontrol/pentagi,9985,33129,435,39,Go,90,20,21.1,13,0.31,4,1,code
goldmansachs/gs-quant,9985,26966,2650,39,Jupyter Notebook,100,20,0,1,1.56,20,1,code
schlagmichdoch/PairDrop,9983,20801,1166,119,JavaScript,100,18,40.9,11,0,0,1,code
wtsxDev/reverse-engineering,9982,34,3349,30,unknown,0,1,106.5,10,0,0,1,code
ruby-grape/grape,9981,6772,5707,258,Ruby,100,20,47.6,16,0,0,1,code
skills/introduction-to-github,9979,1980,1531,1,unknown,94,17,47.2,2,0,0,1,code
astrit/css.gg,9978,6750,2359,43,JavaScript,,0,78.8,4,0,0,0,code
PatrickJS/awesome-angular,9976,3916,3851,1,HTML,100,20,0.1,20,0,0,1,non-code
lyhue1991/eat_tensorflow2_in_30_days,9965,61324,2223,28,Python,,0,106.3,10,0,0,0,code
facebook/jscodeshift,9964,2391,4029,144,JavaScript,94,18,273.4,12,0,0,1,code
jason5ng32/MyIP,9963,612132,847,0,Vue,100,2,0,19,0.23,3,1,code
leeoniya/uPlot,9963,8459,2364,142,JavaScript,100,20,57,14,0,0,1,code
browseros-ai/BrowserOS,9961,138225,304,28,TypeScript,60,10,2.3,19,0.93,12,1,code
IdreesInc/Monocraft,9958,85893,1318,30,Python,100,19,2767.7,12,0,0,1,code
go-swagger/go-swagger,9956,56147,4140,587,Go,88,17,0.2,17,0.08,1,1,code
0x7c13/Notepads,9955,40398,2482,437,C#,50,20,2082.2,15,0,0,1,code
kern/filepizza,9953,8499,4038,39,TypeScript,95,20,44.9,17,0,0,1,code
Netflix/metaflow,9953,46818,2374,422,Python,27,11,72.9,2,0.54,7,1,code
oblador/react-native-animatable,9952,1755,3804,170,JavaScript,,0,0,3,0,0,0,code
hslatman/awesome-threat-intelligence,9946,17702,3740,56,unknown,67,9,168.6,12,0,0,1,non-code
healthchecks/healthchecks,9942,27154,3919,58,Python,100,20,10.4,10,0.08,1,1,code
jsvine/pdfplumber,9941,21627,3859,85,Python,58,19,126.8,12,0.08,1,1,code
Kyome22/RunCat365,9939,1245,2050,7,C#,100,20,3.4,16,0.23,3,1,code
zhanwen/MathModel,9936,3883443,2803,23,TeX,,0,61,3,0,0,0,non-code
StylishThemes/GitHub-Dark,9934,104325,5552,53,CSS,60,20,10.1,13,0,0,1,code
aureuserp/aureuserp,9934,18319,419,101,PHP,100,20,77.9,19,0.23,3,1,code
QuentinFuxa/WhisperLiveKit,9934,35635,454,25,Python,33,12,26.6,10,0.31,4,1,code
alexanderepstein/Bash-Snippets,9932,4241,3186,12,Shell,,0,98.3,17,0,0,0,code
xuchengsheng/spring-reading,9932,2808,915,36,Java,,0,23.4,1,0,0,0,code
guyueyingmu/avbook,9930,8229,3314,93,PHP,,0,,0,0,0,0,non-code
MrXujiang/h5-Dooring,9929,52159,2034,35,JavaScript,,0,0,17,0,0,0,code
happydog-intj/JsBridge,9927,659,4038,145,Java,0,5,2878.8,17,0,0,1,code
i18next/react-i18next,9924,20902,3749,4,JavaScript,95,20,0.4,18,0,0,1,code
xlite-dev/LeetCUDA,9924,275630,1187,2,Cuda,100,20,0,19,0.08,1,1,code
containerd/nerdctl,9918,13609,1930,367,Go,75,20,102.8,15,0.08,1,1,code
mattdelacdev/WOW,9918,1058,4462,189,JavaScript,100,1,5957.4,2,0,0,1,code
helloqingfeng/Awsome-Front-End-learning-resource,9917,75552,3490,9,PHP,,0,1.6,5,0,0,0,non-code
DevExpress/testcafe,9915,135683,3985,26,JavaScript,84,19,166.9,10,0.16,2,1,code
wasabeef/glide-transformations,9915,26509,4086,57,Java,,0,0.6,18,0,0,0,code
senchalabs/connect,9914,5321,5775,12,JavaScript,,0,3565,4,0,0,0,code
bytedance/UI-TARS,9911,44374,423,46,Python,100,19,1.7,13,0,0,1,code
google-deepmind/sonnet,9907,16843,3271,39,Python,75,20,21.8,12,0,0,1,code
aksakalli/gtop,9905,410,3143,41,JavaScript,100,1,33.1,14,0,0,1,code
openvinotoolkit/openvino,9900,924088,2711,728,C++,100,4,261.6,11,0.23,3,1,code
OpenGVLab/InternVL,9900,40557,847,313,Python,,0,4.9,12,0,0,0,code
evershopcommerce/evershop,9900,43200,1777,93,TypeScript,100,17,0,13,0.08,1,1,code
forkingdog/UITableView-FDTemplateLayoutCell,9896,4257,3989,130,Objective-C,,0,0.1,10,0,0,0,code
humanlayer/humanlayer,9891,32126,589,82,TypeScript,,0,11.3,10,1.56,20,0,code
max-mapper/art-of-node,9891,1748,4745,15,JavaScript,,0,355.8,12,0,0,0,code
vmware-tanzu/velero,9891,58012,3150,692,Go,100,10,21.5,14,0.47,6,1,code
purifycss/purifycss,9890,349,3949,81,JavaScript,,0,8.8,7,0,0,0,code
dgkanatsios/CKAD-exercises,9889,254,2817,57,unknown,,0,599.7,15,0,0,0,non-code
audreyfeldroy/favicon-cheat-sheet,9888,380,4608,3,unknown,,0,26221.3,9,0,0,0,non-code
paascloud/paascloud-master,9887,16083,2923,105,Java,,0,,0,0,0,0,code
anthropics/knowledge-work-plugins,9882,885,54,84,Python,0,12,89,12,0,0,1,code
microsoft/fluentui-emoji,9881,136278,1692,106,Python,100,18,20.4,9,0,0,1,code
py-pdf/pypdf,9880,27554,5185,121,Python,94,17,18.8,20,1.01,13,1,code
stanzhai/be-a-professional-programmer,9880,324,4290,10,unknown,,0,2.4,17,0,0,0,non-code
intel/intel-one-mono,9879,19730,1071,23,unknown,,0,0.2,8,0,0,0,non-code
StartBootstrap/startbootstrap-sb-admin-2,9879,29395,4162,120,HTML,,0,,0,0,0,0,code
CollabCodeTech/backend-challenges,9878,109,2444,0,unknown,93,15,957.3,14,0,0,1,non-code
QianMo/Game-Programmer-Study-Notes,9878,788853,3409,736,unknown,,0,3.2,2,0,0,0,non-code
timarney/react-app-rewired,9878,876,3509,18,JavaScript,50,2,596.3,6,0,0,1,code
goofychris/art-template,9876,3189,5036,92,JavaScript,,0,6.2,9,0,0,0,code
gomodule/redigo,9875,595,5086,25,Go,100,20,194.7,7,0,0,1,code
xo/usql,9873,3352,3303,101,Go,90,20,4.7,9,0.86,11,1,code
google/go-cloud,9871,45230,2918,1,Go,86,14,3.1,16,0.08,1,1,code
facebookresearch/nougat,9871,4824,1015,139,Python,100,3,15.8,13,0,0,1,code
stenzek/duckstation,9870,166533,2382,77,C++,93,15,4.5,20,0.86,11,1,code
cotes2020/jekyll-theme-chirpy,9870,5574,2622,32,HTML,95,20,7.4,6,0.08,1,1,code
brightmart/nlp_chinese_corpus,9868,4124,2595,23,unknown,,0,17.8,1,0,0,0,non-code
aFarkas/html5shiv,9868,5145,5513,83,JavaScript,,0,5.9,5,0,0,0,code
vuematerial/vue-material,9864,20168,3560,245,Vue,,0,315.2,11,0,0,0,code
OpenMined/PySyft,9863,771370,3164,65,Python,90,20,0,17,0,0,1,code
IDEA-Research/GroundingDINO,9862,13120,1105,311,Python,,0,68.7,7,0,0,0,code
daliansky/Hackintosh,9860,72850,2620,1,Shell,,0,355.5,18,0,0,0,code
kyutai-labs/moshi,9859,4942,588,80,Python,100,13,2.6,19,0,0,1,code
HugoBlox/kit,9858,73254,3612,3,HTML,100,20,49.5,17,0.08,1,1,code
InsertKoinIO/koin,9858,44051,3207,88,Kotlin,50,14,0.2,15,0.39,5,1,code
prometheus-operator/prometheus-operator,9857,160489,3463,299,Go,100,18,11.3,16,0.23,3,1,code
facebookresearch/dinov3,9857,2883,223,139,Jupyter Notebook,50,20,2.6,14,0,0,1,code
unoplatform/uno,9857,319369,2872,1492,C#,100,20,28.7,13,0.39,5,1,code
xmrig/xmrig,9856,8578,3259,366,C,,0,1.3,15,0.08,1,0,code
blader/humanizer,9854,30,59,51,unknown,0,6,0.7,1,0,0,1,code
keystonejs/keystone,9853,379401,2904,140,TypeScript,80,20,180.7,17,0,0,1,code
gcla/termshark,9849,22261,2524,48,Go,,0,8.2,18,0,0,0,code
snapappointments/bootstrap-select,9849,8982,4920,318,JavaScript,,0,1779.3,10,0,0,0,code
Acly/krita-ai-diffusion,9848,33192,928,121,Python,84,19,28.7,12,0.54,7,1,code
TeamPiped/Piped,9845,22503,1953,297,Vue,80,20,0,15,0,0,1,code
pikvm/pikvm,9844,75263,2375,89,unknown,100,20,0.6,18,0,0,1,code
cncf/landscape,9840,313866,3421,40,unknown,94,18,34.2,18,0,0,1,code
rgcr/m-cli,9838,391,3539,9,Shell,,0,3443.7,10,0.08,1,0,code
moby/buildkit,9837,58141,3213,931,Go,100,16,23.6,17,1.32,17,1,code
Quick/Quick,9836,3475,4304,42,Swift,92,13,21.1,16,0,0,1,code
microsoft/computervision-recipes,9836,267320,2592,111,Jupyter Notebook,89,9,4.4,12,0,0,1,code
symfony/console,9836,7347,5503,0,PHP,,0,,0,1.09,14,0,code
vercel/serve,9836,1498,3612,150,TypeScript,100,18,0.3,12,0.08,1,1,code
r-lyeh/single_file_libs,9836,541,3449,4,unknown,,0,9.6,17,0,0,0,non-code
lk-geimfari/awesomo,9836,57,3382,5,Go,,0,3.1,9,0,0,0,code
sigoden/dufs,9834,833,1392,6,Rust,95,20,0.1,13,0.08,1,1,code
bobthecow/psysh,9833,5333,5035,10,PHP,100,20,58.1,13,0.31,4,1,code
restsharp/RestSharp,9832,41406,5966,21,C#,71,17,0.5,18,0.08,1,1,code
ethereum-lists/chains,9832,446994,2645,114,Kotlin,100,12,1303.8,6,0,0,1,code
YaoFANGUK/video-subtitle-remover,9828,1190929,875,146,Python,94,16,77.4,4,0,0,1,code
facebookresearch/pytorch3d,9827,50381,2336,306,Python,28,18,,0,0,0,1,code
dunovank/jupyter-themes,9826,46321,4115,205,CSS,,0,5368.6,16,0,0,0,code
lib/pq,9826,1609,5119,56,Go,75,20,0.2,17,0.23,3,1,code
Ranchero-Software/NetNewsWire,9825,70567,3223,865,Swift,0,1,8.1,19,1.56,20,1,code
vrtmrz/obsidian-livesync,9824,8355,1618,299,TypeScript,85,20,170.4,11,1.56,20,1,code
rtk-ai/rtk,9824,1924,55,249,Rust,100,1,77.6,14,1.56,20,1,code
lua/lua,9823,12054,4933,0,C,100,1,,0,0.08,1,1,code
frappe/frappe,9823,647449,5397,2246,Python,65,20,4,20,1.56,20,1,code
Visualize-ML/Book4_Power-of-Matrix,9822,334416,1355,12,Jupyter Notebook,,0,,0,0,0,0,non-code
alexeygrigorev/data-science-interviews,9822,1102,2207,8,HTML,80,10,2643.4,11,0,0,1,non-code
zarazhangrui/frontend-slides,9819,66,49,19,CSS,0,2,53.9,4,0.08,1,1,code
nezhahq/nezha,9819,12310,2321,41,Go,90,20,48,12,0.7,9,1,code
jrouwe/JoltPhysics,9818,30282,1679,11,C++,,0,4,20,0.08,1,0,code
gao-sun/eul,9818,2216,2091,71,Swift,100,1,93.5,16,0,0,1,code
stakater/Reloader,9817,28000,2814,154,Go,87,15,2.5,11,0.31,4,1,code
hackware1993/MagicIndicator,9815,54749,3552,187,Java,,0,191.8,5,0,0,0,code
accomplish-ai/accomplish,9812,14824,63,109,TypeScript,85,13,1.3,9,1.17,15,1,code
streamaserver/streama,9808,72366,3885,349,JavaScript,,0,4712.8,13,0.16,2,0,code
messense/aliyundrive-webdav,9807,3909,1673,25,Rust,71,17,8.8,11,0,0,1,code
falconry/falcon,9805,8019,4850,163,Python,95,19,65.2,12,0,0,1,code
samratashok/nishang,9804,11154,4321,21,PowerShell,,0,220.4,10,0,0,0,code
Panniantong/Agent-Reach,9802,1320,22,10,Python,100,15,4.8,15,0.23,3,1,code
microsoft/inshellisense,9799,5439,892,11,TypeScript,95,20,0.1,19,0.78,10,1,code
zuiidea/antd-admin,9799,25378,3705,32,TypeScript,0,4,8.1,15,0.16,2,1,code
ArthurSonzogni/FTXUI,9798,102220,2607,98,C++,78,18,27.4,18,0,0,1,code
vercel/ncc,9796,10647,2682,224,JavaScript,100,20,12.5,14,0,0,1,code
kubernetes/client-go,9794,31568,3492,0,Go,100,20,2090.1,2,0,0,1,code
johnkerl/miller,9791,212740,3971,114,Go,100,20,0.3,19,0.16,2,1,code
lutris/lutris,9791,26093,4544,223,Python,90,20,9.4,15,0.16,2,1,code
OpenFeign/feign,9789,10860,4647,233,Java,100,8,0.3,20,0.62,8,1,code
m3y54m/Embedded-Engineering-Roadmap,9788,3778,967,2,unknown,90,20,61.8,19,0,0,1,non-code
baptisteArno/typebot.io,9783,386414,1580,219,TypeScript,100,20,4.5,14,0.23,3,1,code
